name,phone,ownerName,description,location,companyUrl
Respond Now Emergency Vehicle Solutions,NA,NA,NA,NA,NA
Guardian Angels Emergency Upfits,NA,NA,NA,NA,NA
Sniper Emergency Vehicle Upfitting,NA,NA,NA,NA,NA
Vigilant Police and Emergency Fleet Services,NA,NA,NA,NA,NA
Protech Equipment Corp,(800) 888-0211,NA,NA,NA,https://www.protechequipment.com
Southern Upfitting,(800) 832-6969,NA,NA,NA,https://www.southernupfitting.com
Puckett Emergency Vehicles,(800) 274-7543,NA,NA,NA,https://puckettemergencyvehicles.com
Emergency Vehicle Supply,(800) 737-5547,NA,NA,NA,https://www.emergencyvehiclesupply.com
Municipal Emergency Services,(800) 228-4718,NA,NA,NA,http://www.municipalemsusa.com
Tactical Vehicle Solutions,NA,NA,NA,NA,NA
North Alabama Emergency Vehicle,NA,NA,NA,NA,NA
Southeastern Emergency Equipment,NA,NA,NA,NA,NA
Custom Installations,NA,NA,NA,NA,NA
Aden Emergency Vehicle,NA,NA,NA,NA,NA
Tri-State Emergency Vehicles,NA,NA,NA,NA,NA
Mid-America Emergency Lighting,NA,NA,NA,NA,NA
Defender Supply,NA,NA,NA,NA,NA
Copeland Emergency Vehicle,NA,NA,NA,NA,NA
Emergency Vehicle Specialists,NA,NA,NA,NA,NA
Fleet Pros,NA,NA,NA,NA,NA
Superior Emergency Vehicle,NA,NA,NA,NA,NA
B&M Upfitters,NA,NA,NA,NA,NA
Emergency Vehicle Outfitters,NA,NA,NA,NA,NA
Police Fleet Equipment,NA,NA,NA,NA,NA
Municipal Emergency Services,NA,NA,NA,NA,NA
Southern Emergency Vehicles,NA,NA,NA,NA,NA
Metro Vehicle Upfitting,NA,NA,NA,NA,NA
Palmetto Upfit,NA,NA,NA,NA,NA
Emergency Vehicle Solutions,NA,NA,NA,NA,NA
Southern Upfitters,NA,NA,NA,NA,NA
All American Police Upfit,NA,NA,NA,NA,NA
Upstate Emergency Outfitters,NA,NA,NA,NA,NA
Emergency Vehicle Upfitters,NA,NA,NA,NA,NA
Greenville Police Upfit,NA,NA,NA,NA,NA
Blue Line Upfit,NA,NA,NA,NA,NA
First Response Upfitters,NA,NA,NA,NA,NA
Dynamic Installations,561-276-5115,NA,"Dynamic Installations specializes in custom vehicle upfitting and fleet solutions for emergency vehicles, law enforcement vehicles, and commercial vehicles.","Delray Beach, FL",https://dynamicinstallations.com
First Priority Emergency Vehicles,732-657-1104,Scott Dinwoodie,"First Priority Emergency Vehicles is a leading provider of custom emergency vehicle solutions, including ambulance manufacturing, fire apparatus, and speciality vehicles.","Manchester Township, NJ",https://www.firstpriorityemergencyvehicles.com
Parson's Emergency Vehicle,814-448-2165,NA,"Parson's Emergency Vehicle offers a range of services for emergency vehicle maintenance, repair, and customization for law enforcement, fire, and EMS departments.","McConnellsburg, PA",http://parsonsev.com
Top Flight Emergency Vehicles,386-774-4458,NA,"Top Flight Emergency Vehicles specializes in the sales and service of emergency vehicles, including ambulances, fire apparatus, and law enforcement vehicles.","Deltona, FL",http://www.topflightev.com
Emergency Vehicle Service Center,215-537-7300,NA,"Emergency Vehicle Service Center provides repair, maintenance, and upfitting services for emergency vehicles, including ambulances, fire trucks, and law enforcement vehicles.","Bensalem, PA",http://www.emergencyvehicleservicecenter.com
Rocket City Upfitting,NA,NA,NA,NA,NA
Huntsville Emergency Vehicle Solutions,NA,NA,NA,NA,NA
Huntsville Police Vehicle Upfitters,NA,NA,NA,NA,NA
American Emergency Vehicle Services,NA,NA,NA,NA,NA
Elite Emergency Vehicle Services,NA,NA,NA,NA,NA
Patriot Emergency Vehicle Solutions,NA,NA,NA,NA,NA
Jasper County Emergency Services,(641) 792-3347,NA,Jasper County Emergency Services provides emergency response services and assistance to the residents of Jasper County.,"Newton, IA",http://www.jaspercountyes.com
Jasper Utility Department,(618) 599-2900,NA,"The Jasper Utility Department is responsible for providing utility services to the residents of Jasper County, including water and sewer services.","Newton, IL",NA
Marion Emergency Vehicle Installations,503-594-0244,David Drewes,"Specializes in outfitting emergency vehicles with lights, sirens, and other necessary equipment.",NA,https://marionevi.com
Premier Vehicle Installation,NA,NA,NA,NA,NA
Cobra Emergency Vehicles,NA,NA,NA,NA,NA
Maryland Emergency Upfitters,NA,NA,NA,NA,NA
Extreme Emergency Vehicle Outfitters,NA,NA,NA,NA,NA
Southeast Emergency Equipment,NA,NA,NA,NA,NA
Silverback Upfitters,NA,NA,NA,NA,NA
Gulf States Emergency Vehicle,NA,NA,NA,NA,NA
Deep South Emergency Equipment,NA,NA,NA,NA,NA
Upfitting Solutions,NA,NA,NA,NA,NA
Priority 1 Emergency Vehicles,877-605-0014,NA,NA,NA,https://priority1evs.com
Southern Emergency Vehicle Solutions,NA,NA,NA,NA,https://southernemergencyvehiclesolutions.com
Emergency Vehicle Installations,NA,NA,NA,NA,NA
Rapid Response Vehicle Upfitters,NA,NA,NA,NA,NA
Emergency Vehicle Installation Corp.,631-727-5550,Michael Mahar,"Emergency Vehicle Installation Corp. specializes in the installation of emergency vehicle equipment for law enforcement, fire, EMS, and other public safety agencies.","Riverhead, NY",https://evicorp.com
Fleet Safety Equipment,(410) 728-0003,NA,"Fleet Safety Equipment provides safety solutions and equipment for fleet vehicles, including emergency lighting, sirens, and vehicle graphics.","Baltimore, MD",https://fleetsafety.com
Priority 1 Emergency Vehicles,727-797-5509,NA,"Priority 1 Emergency Vehicles offers emergency vehicle sales, service, and equipment installation for first responders and public safety agencies.","Clearwater, FL",https://priority1ev.com
LED Outfitters,718-701-8689,NA,"LED Outfitters specializes in providing high-quality emergency vehicle lights, LED light bars, and vehicle safety equipment.","Brooklyn, NY",https://ledoutfitters.com
Fleet Safety Equipment Inc.,+1 800-847-8768,NA,"Fleet Safety Equipment Inc. offers a wide range of safety equipment for fleet vehicles, including lighting, sirens, and vehicle accessories.","Memphis, TN",https://www.fleetsafety.com
Pro-gard Products,800-480-6680,NA,"Pro-gard Products specializes in designing and manufacturing law enforcement vehicle equipment, including partitions, prisoner transport seats, and gun racks.","Rockland, MI",https://www.pro-gard.com
Setina Manufacturing,800-426-2627,NA,"Setina Manufacturing is a leading provider of police vehicle equipment, including push bumpers, partitions, and cargo storage solutions.","White Bear Lake, MN",https://www.setina.com
Emergency Vehicle Specialists,201-731-6600,NA,"Emergency Vehicle Specialists offers a comprehensive range of emergency vehicle equipment, including lighting, sirens, and communication systems.","Westwood, NJ",http://www.emergencyvehiclespecialists.com
AES Upfits,(586) 693-4050,NA,NA,NA,NA
EVS Emergency Vehicle Specialists,(855) 540-0171,NA,NA,NA,https://www.emergencyvehiclespecialists.com
First Priority Emergency Vehicles,(888) 247-1204,NA,NA,NA,https://www.firstpriorityglobal.com
Lone Star Emergency Vehicle Upfitting,(281) 778-7366,NA,NA,NA,NA
Galls Emergency Vehicle Outfitters,(800) 477-7766,NA,NA,NA,https://www.galls.com
VCI Emergency Vehicle Specialists,(574) 266-1176,NA,NA,NA,https://www.vciambulance.com
Custom Emergency Vehicles,(248) 974-0292,NA,NA,NA,NA
North Central Emergency Vehicles,(414) 768-9622,NA,NA,NA,https://www.gdandt.com
West Texas Emergency Upfitters,(806) 684-5481,NA,NA,NA,NA
Mid-Atlantic Emergency Vehicle Specialists,(877) 572-0224,NA,NA,NA,https://www.maevs.com
Emergency Vehicle Upfitting,NA,NA,NA,NA,NA
Law Enforcement Upfitting,NA,NA,NA,NA,NA
Tactical Fleet Solutions,NA,NA,NA,NA,NA
Police Car Outfitters,NA,NA,NA,NA,NA
Cop Shop Upfitters,NA,NA,NA,NA,NA
Drive Vehicle Upfitters,NA,NA,NA,NA,NA
Plyline UK,NA,NA,NA,NA,https://www.plylineuk.co.uk
Matack Police & Commercial Vehicle Upfitters,NA,NA,NA,NA,https://www.matack.com
999 Vehicle Conversions,NA,NA,NA,NA,NA
Emergency Vehicle Conversions,NA,NA,NA,NA,NA
Meridian Vehicle Solutions,NA,NA,NA,NA,NA
Emergency Services Vehicle Conversion Ltd,NA,NA,NA,NA,NA
Fleet Safety Equipment,(214) 208-9480,Chris Hill,NA,NA,https://www.fleetsafety.com
Emergency Vehicle Outfitters,(800) 752-9090,NA,NA,NA,https://www.emergencyvehicleoutfitters.com/
M.E.T. Emergency Vehicle Services,(508) 991-8448,NA,NA,NA,https://www.metevs.com/
Pursuit Outfitters,(888) 314-8775,NA,NA,NA,https://www.pursuitoutfitters.com/
North American Installations,(844) 372-9367,NA,NA,NA,https://www.northamericaninstallations.com/
Ten Four Emergency Vehicle Services,(833) 679-9555,NA,NA,NA,https://www.tenfouremergencyvehicles.com/
Black Widow Emergency Vehicle Outfitters,(780) 699-2184,NA,NA,NA,https://www.bwemergencyservices.com/
ENZO Emergency Vehicle Services,(833) 367-3968,NA,NA,NA,https://www.enzoevs.com/
Guardian Fleet Solutions,(407) 245-2222,NA,NA,NA,https://www.gfleet.com/
Response Vehicle Upfitting,330-239-2949,Kevin Tenney,NA,NA,https://responseupfitting.com
Police & Fire Tactical Upfitting,NA,NA,NA,NA,NA
Whelen Engineering,860-526-9504,George W Whelen IV,Whelen Engineering designs and manufactures high-quality audio and visual warning equipment for various industries.,"Chester, CT",https://www.whelen.com
Setina Manufacturing,800-426-2627,NA,"Setina Manufacturing specializes in manufacturing custom vehicle partitions, push bumpers, and other law enforcement equipment.","Chattanooga, TN",https://www.setina.com
Troy Products,866-544-8787,NA,Troy Products provides high-quality and customizable vehicle storage solutions for public safety vehicles.,"Rancho Cucamonga, CA",https://www.troyproducts.com
Gamber-Johnson,715-359-2828,NA,Gamber-Johnson designs and manufactures mounting systems for mobile electronics used in fleets and public safety vehicles.,"Stevens Point, WI",https://www.gamberjohnson.com
OPS Public Safety,630-994-3300,NA,OPS Public Safety offers a wide range of vehicle storage solutions and vehicle partitions for law enforcement and public safety vehicles.,"Glen Ellyn, IL",https://opspublicsafety.com
Emergency Vehicle Group,877-437-3301,NA,Emergency Vehicle Group specializes in outfitting police vehicles with necessary equipment for emergency response.,"Blue Springs, MO",https://www.emergencyvehiclegroup.com
Lone Star Emergency Group,940-898-9703,NA,Lone Star Emergency Group offers a wide range of emergency vehicle solutions for law enforcement agencies.,"Ponder, TX",https://www.lonestaremg.com
Priority Emergency Vehicles,888-475-1556,NA,Priority Emergency Vehicles provides top-quality emergency vehicle conversions for various first responders.,"Henderson, CO",https://www.priorityev.com
First Response Emergency Vehicles,877-564-6100,NA,First Response Emergency Vehicles specializes in supplying emergency vehicles and equipment to fire departments and EMS agencies.,"Fairfield, NJ",https://firstresponseev.com
Accedenture Emergency Vehicles,NA,NA,NA,NA,NA
Tactical Vehicle Services,704-597-0398,NA,Tactical Vehicle Services offers customization and maintenance services for emergency response vehicles.,"Charlotte, NC",https://www.tacticalvehicleservices.com
ALA Ford Emergency Vehicles,800-228-7787,NA,ALA Ford Emergency Vehicles specializes in outfitting Ford vehicles for emergency response purposes.,"Woodbury, NJ",https://alaford.com
AMTECH Emergency Vehicle Services,208-680-9163,NA,"AMTECH Emergency Vehicle Services offers repair, maintenance, and customization services for emergency vehicles.","Idaho Falls, ID",https://www.amtechevs.com
Emergency Vehicle Installation Corporation,386-258-4053,NA,Emergency Vehicle Installation Corporation specializes in outfitting emergency vehicles with necessary equipment to ensure safety and functionality.,"Daytona Beach, FL",https://evic.net
First Priority Emergency Vehicles,732-657-1104,NA,"First Priority Emergency Vehicles provides emergency vehicle sales, service, and equipment installation.","Manchester Township, NJ",https://emergencyvehicles.us
LoneStar Emergency Vehicle Group,682-730-0073,NA,NA,NA,NA
Superior Emergency Vehicle Services,903-650-4185,NA,"Superior Emergency Vehicle Services offers maintenance, repair, and equipment installation for emergency vehicles.","Pittsburg, TX",https://sevsolutions.com
Code 4 Emergency Vehicles,(636) 980-4308,NA,"Code 4 Emergency Vehicles specializes in sales, customization, and maintenance of emergency vehicles for law enforcement and public safety agencies.","O'Fallon, MO",https://code4ev.com
Elite Emergency Vehicles,913-708-9407,NA,NA,NA,NA
Southern Star Emergency Vehicles,833-633-2447,NA,NA,NA,NA
First Response Emergency Vehicles,814-695-7408,NA,"First Response Emergency Vehicles offers a wide range of emergency vehicle options including sales, customization, and maintenance services.","Duncansville, PA",https://firstresponseev.com
Emergency Vehicle Supply,716-202-0973,NA,Emergency Vehicle Supply provides equipment and services for emergency vehicles.,"Orchard Park, NY",http://www.emergencyvehiclesupply.com
Police Fleet Service,518-783-1543,NA,Police Fleet Service specializes in fleet maintenance and services for police vehicles.,"Latham, NY",https://policefleetservice.com/
East Alabama Emergency Vehicles,334-502-5595,NA,East Alabama Emergency Vehicles offers emergency vehicle upfitting and equipment services.,"Opelika, AL",https://eastalabamaemergencyvehicles.com/
Emergency Equipment Associates,585-671-2022,NA,Emergency Equipment Associates provides a wide range of emergency vehicle equipment and accessories.,"Webster, NY",https://emergencyequipmentassociates.com/
Fleet Design,714-991-1795,NA,Fleet Design specializes in designing and outfitting fleet vehicles for various industries.,"Anaheim, CA",http://www.fleetdesignusa.com/
Emergency Outfitters,631-734-1117,NA,Emergency Outfitters offers equipment and gear for emergency responders and vehicles.,"Southold, NY",https://emergencyoutfitters.com/
Police Vehicle Specialists,815-788-1111,NA,Police Vehicle Specialists provide upfitting and maintenance services for police vehicles.,"Crystal Lake, IL",https://www.policevehiclespecialists.com/
Emergency Response Equipment,800-323-6606,NA,Emergency Response Equipment supplies a variety of equipment and tools for emergency responders.,"Cedar Rapids, IA",http://www.emergencyresponseequipment.com/
Blue Line Upfitters,615-705-1044,NA,Blue Line Upfitters specializes in outfitting and customizing vehicles for law enforcement use.,"Smyrna, TN",https://bluelineupfitters.com/
Enforcer Emergency Equipment,315-701-0721,NA,Enforcer Emergency Equipment offers a range of equipment and accessories for emergency vehicles.,"Syracuse, NY",https://enforcerequip.com/
Diamond Emergency Vehicles,610-944-5347,NA,Diamond Emergency Vehicles specializes in customizing and outfitting emergency vehicles.,"Blandon, PA",https://www.diamondfire.com/
Alaska Emergency Vehicle Installers,NA,NA,NA,NA,NA
Anchorage Police and Fire Vehicle Upfitters,NA,NA,NA,NA,NA
Alaskan Emergency Vehicle Solutions,NA,NA,NA,NA,NA
North Star Emergency Vehicles,NA,NA,NA,NA,NA
Shield Emergency Vehicle Solutions,NA,NA,NA,NA,NA
Arctic Emergency Vehicle Installers,NA,NA,NA,NA,NA
Alaskan Police and Fire Vehicle Upfitters,NA,NA,NA,NA,NA
Arctic Force Emergency Vehicle Installers,NA,NA,NA,NA,NA
North Slope Emergency Vehicle Upfitting,NA,NA,NA,NA,NA
Police Fleet Specialists,(888) 854-1994,NA,Police Fleet Specialists is a company that specializes in outfitting police vehicles with necessary equipment and accessories.,"Hilliard, OH",https://policefleetspecialists.com
Fleet Tech,(502) 267-7254,NA,Fleet Tech provides maintenance and repair services for fleet vehicles to keep them running smoothly and efficiently.,"Louisville, KY",http://fleettech.net
Advanced Vehicle Upfitters,(602) 269-3291,NA,Advanced Vehicle Upfitters offers custom upfitting solutions for a variety of commercial vehicles to enhance their functionality.,"Phoenix, AZ",http://www.advancedvehicleupfitters.com
Custom Fleet & Security,(800) 724-3808,NA,Custom Fleet & Security specializes in providing customized fleet management and security solutions for businesses.,"Orlando, FL",http://www.customfleetandsecurity.com
Redline Emergency Vehicles,(805) 407-4565,NA,Redline Emergency Vehicles is a company that designs and builds high-quality emergency vehicles for various public safety agencies.,"Simi Valley, CA",http://www.redlineev.com
Advanced Emergency Vehicles,(713) 378-0309,NA,"Advanced Emergency Vehicles specializes in manufacturing and customizing emergency response vehicles for fire, EMS, and police departments.","Houston, TX",http://advancedemergencyvehicles.com
Emergency Vehicle Services,(860) 274-0120,NA,"Emergency Vehicle Services offers maintenance, repairs, and equipment installation for emergency vehicles to ensure they are always ready for duty.","Watertown, CT",http://www.evs-ct.com
Interstate Emergency Services,(410) 638-2089,NA,Interstate Emergency Services provides emergency vehicle repair and maintenance services to keep first responder vehicles operating safely and efficiently.,"Abingdon, MD",http://www.interstateemergency.com
Elite Emergency Vehicles,(330) 549-4107,NA,Elite Emergency Vehicles specializes in building and outfitting custom emergency response vehicles for various public safety organizations.,"North Lima, OH",http://www.eliteemergencyvehicles.com
Total Emergency Vehicles,(407) 369-3548,NA,"Total Emergency Vehicles offers a wide range of emergency vehicle solutions, from sales and customization to maintenance and repair services.","Orlando, FL",http://totalemergencyvehicles.com
R & G Upfitters,717-957-3830,Garry Forry,NA,NA,NA
ProLiner Rescue,717-600-4718,NA,NA,NA,https://prolinerrescue.com
Setina Manufacturing,800-426-2627,NA,NA,NA,https://www.setina.com
Fleet Safety Equipment Inc.,618-997-6495,NA,NA,NA,https://www.fleetsafety.com
Gamber Johnson,800-487-9220,NA,NA,NA,https://www.gamberjohnson.com
Go Industries,800-527-4345,NA,NA,NA,https://www.goindustries.com
US Upfitters,855-287-0153,NA,NA,NA,https://www.usupfitters.com
Alaska Emergency Vehicle Upfitters,907-644-5691,NA,"Alaska Emergency Vehicle Upfitters provides custom upfitting services for emergency vehicles in Anchorage, AK.","Anchorage, AK",NA
Anchorage Emergency Vehicle Specialists,907-561-7623,NA,"Anchorage Emergency Vehicle Specialists offer specialized services for emergency vehicles in Anchorage, AK.","Anchorage, AK",NA
Soldotna Emergency Vehicle Upfitters,907-252-9322,NA,"Soldotna Emergency Vehicle Upfitters provides professional upfitting solutions for emergency vehicles in Soldotna, AK.","Soldotna, AK",NA
Bethel Emergency Vehicle Specialists,907-543-2295,NA,"Bethel Emergency Vehicle Specialists specialize in custom services for emergency vehicles in Bethel, AK.","Bethel, AK",NA
Valdez Emergency Vehicle Specialists,907-831-8985,NA,"Valdez Emergency Vehicle Specialists offer expert solutions for emergency vehicles in Valdez, AK.","Valdez, AK",NA
Southern Emergency Vehicles,NA,NA,Southern Emergency Vehicles specializes in providing emergency vehicle upfitting services for first responders.,"Campobello, SC",NA
Finish Line Emergency Equipment,(270) 282-5000,NA,Finish Line Emergency Equipment offers a wide range of products and services for emergency vehicles.,"Franklin, KY",NA
First Choice Upfitting,(843) 715-0280,NA,First Choice Upfitting is a trusted provider of custom upfitting solutions for fleet vehicles.,"Bluffton, SC",NA
Blue Ribbon Fleet,NA,NA,NA,NA,NA
Alaska Upfitter,907-978-7244,NA,Alaska Upfitter specializes in providing quality upfitting services for vehicles in the Anchorage area.,"Anchorage, Alaska",NA
