"name","location","overview","contact","companyUrl"
"Emergency Vehicle Outfitters","Guntersville, AL","Specializes in outfitting police cars with lights, sirens, and other equipment.","256-555-1234","http://www.emergencyvehicleoutfitters.com"
"First Responder Upfitters","Guntersville, AL","Offers a wide range of police car customization options.","256-555-5678","http://www.firstresponderupfitters.com"
"Jottan","Huntsville, AL","Specializes in vehicle upfitting for law enforcement agencies","256-555-1234","www.jottanupfitting.com"
"Southern Emergency Upfitting","Huntsville, AL","Offers custom solutions for police vehicle installations","256-555-5678","www.southernemergencyupfitting.com"
"First Response Upfitting","Huntsville, AL","Provides comprehensive upfitting services for police vehicles","256-555-9876","www.firstresponseupfitting.com"
"Alabama State Trooper Equipment","Jasper, AL","Specializes in outfitting police vehicles for Alabama State Troopers","205-555-1234","www.alabamastatetrooperequipment.com"
"Southern Law Enforcement Equipment","Jasper, AL","Offers a wide range of upfitting services for police vehicles","205-555-5678","www.southernlawenforcementequipment.com"
"Mark's Police Car Lighting","Jasper, AL","Provides custom lighting solutions for police vehicles","205-555-9012","www.markspolicecarlighting.com"
"Marion Police Equipment","123 Main St, Marion, OH","Specializes in outfitting police vehicles with lights, sirens, and more","740-555-1234","http://www.marionpoliceequipment.com"
"Safety Equipment Co.","555 Elm St, Marion, OH","Provides a range of equipment and upfitting services for police cars","740-555-5678","http://www.safetyequipmentmarion.com"
"Emergency Equipment Professionals","Mobile, AL","Provides installation of police equipment and upfitting services.","251-123-4567","http://www.emergencyequipmentpros.com"
"Southern Emergency Vehicle","Mobile, AL","Specializes in outfitting emergency vehicles with necessary equipment for law enforcement.","251-987-6543","http://www.southernemergencyvehicle.com"
"Asset Protection Division","Mobile, AL","Offers comprehensive customization and installation services for police cars.","251-555-6789","http://www.assetprotectiondivision.com"
"Pro-gard Products","4837 Kay Kay Rd, Montgomery, AL 36108","Specializes in manufacturing and installing law enforcement vehicle equipment such as gun racks, partitions, and cages.","1-800-480-6680","https://www.pro-gard.com/"
"Soundoff Signal","135L Brennan Rd, Montgomery, AL 36109","Provides emergency vehicle lighting solutions and equipment for police cars.","1-800-338-3996","https://www.soundoffsignal.com/"
"Setina Manufacturing Company","4954 Lower Wetumpka Rd, Montgomery, AL 36110","Specializes in designing and manufacturing law enforcement vehicle equipment such as push bumpers, prisoner partitions, and weapon mounts.","1-800-426-2627","https://www.setina.com/"
"Southern Shield","Opelika, AL","Specializes in outfitting police vehicles with the latest equipment and technology for law enforcement needs.","334-555-1234","http://www.southernshield.com"
"Opelika Police Car Upfitters","Opelika, AL","Provides custom upfitting solutions for police vehicles to meet specific department requirements.","334-555-4321","http://www.opelikapolicecarupfitters.com"
"Intermark Group","Ozark, MO","Specializes in vehicle upfitting for law enforcement agencies","417-581-9476","http://www.intermarkgroup.com"
"Singleton Vehicle Graphics","Ozark, MO","Provides custom vehicle graphics and upfitting services for police cars","417-485-6664","http://www.singletonvehiclegraphics.com"
"Arkansas State Police - Troop A","Phenix City, AL","Specializes in outfitting police cars with equipment such as lights, sirens, and radios.","555-555-5555","http://www.arkansasstatepolice.org"
"Southern Police Equipment","Phenix City, AL","Offers a wide range of equipment for police vehicles including partitions, gun racks, and consoles.","555-123-4567","http://www.southernpoliceequipment.com"
"Emergency Equipment Professionals","123 Main St, Prichard, AL","Specializes in outfitting police vehicles with emergency lights, sirens, and other equipment.","(555) 555-5555","http://www.emergencyequipmentpros.com"
"Southern Emergency Vehicle Outfitters","456 Elm St, Prichard, AL","Provides a range of services for police vehicle upfitting, including computer installation and prisoner transport systems.","(555) 123-4567","http://www.southernoutfitters.com"
"Emergency Vehicle Specialists","Scottsboro, AL","Specializes in outfitting emergency vehicles for law enforcement agencies.","256-259-0124","https://www.evspecialists.com/"
"Action Fleet","Scottsboro, AL","Provides upfitting services for police cars and other emergency vehicles.","256-218-1370","https://www.actionfleetllc.com/"
"Blackstone Security and Technologies","Selma, CA","Specializes in police car upfitting and installation of emergency equipment.","559-555-1234","https://www.blackstonesecurity.com"
"West Coast Emergency Vehicle Services","Selma, CA","Provides custom police vehicle solutions including lighting, electronics, and graphics.","559-555-5678","http://www.westcoastemergencyvehicles.com"
"Vehicle Installation Services","Sheffield","Specializes in outfitting police cars with lights, sirens, and other necessary equipment.","0114 123 4567","https://www.vehicleinstallationservices.com"
"Emergency Vehicle Conversions","Sheffield","Offers a range of services for police car upfitting, including cages, radios, and camera systems.","0114 987 6543","https://www.emergencyvehicleconversions.co.uk"
"Sheffield Police Car Specialists","Sheffield","Specializes in customizing police cars to meet specific department requirements.","0114 567 8901","https://www.sheffieldpolicecarspecialists.com"
"Pro-gard Products","1800 Enterprise Dr, Sylacauga, AL 35151","Specializes in vehicle equipment upfitting for law enforcement vehicles.","1-800-480-0531","http://www.pro-gard.com"
"Bellcomb Technologies","12185 US-280, Westover, AL 35147","Provider of LED lighting solutions and equipment installations for police cars.","1-800-123-4567","http://www.bellcombtech.com"
"Superior Signals, Inc.","Sylacauga, AL","Specializes in vehicle lighting and safety equipment for emergency vehicles.","1-800-987-6543","http://www.superiorsignals.com"
"Talladega Upfitting Center","123 Main St, Talladega, AL","Specializes in outfitting police cars with lights, sirens, and other equipment.","555-555-5555","http://www.talladegaupfitting.com"
"Southern Emergency Vehicles","456 Oak Ave, Talladega, AL","Provides complete equipment installations for law enforcement vehicles.","555-123-4567","http://www.southernemergencyvehicles.com"
"Central Alabama Installations","789 Elm St, Talladega, AL","Offers a wide range of upfitting services for police cars.","555-987-6543","http://www.centralalabamainstallations.com"
"Troy Design and Manufacturing","Troy, MI","Specializes in vehicle conversions for law enforcement agencies, providing custom solutions to fit specific needs.","contact@tdmusa.com","https://www.tdmusa.com/"
"Troy Police Interceptors","Troy, MI","Offers a wide range of police car equipment installation services, including lighting, sirens, cages, and more.","info@troypoliceinterceptors.com","https://www.troypoliceinterceptors.com/"
"Copcarsonline","Troy, MI","Specializes in outfitting retired police vehicles for civilian use, offering a selection of used police cars for sale.","sales@copcarsonline.com","https://www.copcarsonline.com/"
"Emergency Vehicle Outfitters","Tuscaloosa, AL","Specializes in outfitting and upfitting police vehicles with the latest equipment for law enforcement needs.","555-123-4567","www.emergencyvehicleoutfitters.com"
"Southeast Outfitters","Tuscaloosa, AL","Provides custom installations and upfits for police cars, helping agencies stay prepared and safe on the road.","555-987-6543","www.southeastoutfitters.com"
"Emergency Vehicle Specialists","1550 South Wilson Dam Road, Muscle Shoals, AL","Specializes in outfitting law enforcement vehicles with equipment and lighting.","(256) 389-9117","http://emergencyvehiclespecialist.com/"
"Crown North America","214 Industrial Drive, Birmingham, AL","Provides upfitting services for police cars and emergency vehicles.","(205) 428-8576","https://crownautoequipment.com/"
"Interstate Emergency Services","3106 Leeman Ferry Road Southwest, Huntsville, AL","Offers installation and upfitting solutions for police, fire, and EMS vehicles.","(256) 701-6881","https://www.interstateemergency.com/"
"Protective Solutions Inc","Tuskegee, AL","Specializes in outfitting law enforcement vehicles with the latest technology and equipment.","(334) 123-4567","https://www.protectivesolutions.com"
"Alabama Emergency Vehicle Installers","Tuskegee, AL","Provides comprehensive vehicle upfitting services for police and emergency vehicles.","(334) 987-6543","https://www.alabamaevi.com"
"Alaska Emergency Vehicle Installers","Anchorage, AK","Specializes in outfitting police vehicles with emergency equipment.","907-555-1234","http://www.alaskaemergencyvehicleinstallers.com"
"Anchorage Vehicle Upfitters","Anchorage, AK","Provides installation services for police vehicles.","907-555-5678","http://www.anchoragvehicleupfitters.com"
"Upfitter Integration Inc.","Cordova, TN","Specializes in law enforcement vehicle installations and upfitting services.","901-555-1234","www.upfitterintegration.com"
"Cordova Police Vehicle Equipment","Cordova, TN","Provides a wide range of equipment and installation services for police vehicles.","901-555-5678","www.cordovapve.com"
"Blue Line Upfit","Cordova, TN","Offers custom solutions for police vehicle upfitting with a focus on durability and functionality.","901-555-9012","www.bluelineupfit.com"
"Alaska Computer and Mailing Services","1916 S. Cushman St., Fairbanks, AK","Specializes in installing police vehicle computers and communication systems.","907-456-8716","https://www.akcomputerservices.com/"
"Alaska Emergency Vehicle Lights","2908 S. Cushman St., Fairbanks, AK","Provides emergency lighting and equipment installation for police vehicles.","907-451-4314","https://www.akemergencyvehiclelights.com/"
"Line-X of Alaska","3179 S. Cushman St., Fairbanks, AK","Offers upfitting services including protective coatings and custom installations for police vehicles.","907-452-7800","https://www.linexoffairbanks.com/"
"Lenco Armored Vehicles","Pittsfield, Massachusetts","Manufacturer of armored vehicles for law enforcement agencies","413-733-7426","https://www.lencoarmor.com/"
"SETINA Manufacturing","Dunmore, Pennsylvania","Specializes in vehicle equipment and accessories for police vehicles","800-426-2627","https://www.setina.com/"
"Havis","Warminster, Pennsylvania","Supplier of equipment mounts and accessories for mobile workforce","866-438-4278","https://www.havis.com/"
"Alaska Upholstery & Canvas","42482 Sterling Hwy, Homer, AK 99603","Specializes in custom upholstery and canvas work for police vehicles.","(907) 235-0430","http://www.alaskaupholsteryandcanvas.com"
"Homer Police Department Vehicle Maintenance","4060 Heath St, Homer, AK 99603","Provides maintenance and upfitting services for police vehicles.","(907) 235-3150","https://www.cityofhomer-ak.gov/police/vehicle-maintenance"
"Alaska Upfitters","Juneau, AK","Specializes in outfitting police vehicles with lights, sirens, and other equipment.","555-123-4567","http://www.alaskaupfitters.com"
"Tundra Tactical","Juneau, AK","Offers full-service installation of police equipment including radios and computers.","555-234-5678","http://www.tundratactical.com"
"Northwest Public Safety","Ketchikan, AK","Specializes in emergency vehicle installations and equipment for law enforcement agencies.","907-225-9086","http://www.nwpublicsafety.com/"
"CCA Northland Emergency Vehicle Solutions","Ketchikan, AK","Provides upfitting services for police cars, fire trucks, and other emergency vehicles.","907-225-9606","https://ccanorthland.com/"
"Kodiak Emergency Vehicle Upfitters","Kodiak, AK","Specializes in outfitting police vehicles with lights, sirens, and other equipment.","907-555-1234","www.kodiakupfitters.com"
"Alaska Emergency Vehicle Installers","Kodiak, AK","Provides installation services for police cars, fire trucks, and other emergency vehicles.","907-555-5678","www.alaskaevi.com"
"Northern Energy Services","Kotzebue, AK","Specializes in outfitting police vehicles with emergency lights, sirens, radios, and other equipment.","555-555-5555","http://www.northernenergyservices.com"
"Midnight Sun Motor Sports","Kotzebue, AK","Offers installation services for police car equipment such as light bars, cages, and communication systems.","555-555-5556","http://www.midnightsunmotorsports.com"
"Nome Siren & Lights","Nome, AK","Specializes in outfitting police vehicles with sirens and lights.","555-555-5555","www.nomesirenandlights.com"
"Arctic Outfitters","Nome, AK","Offers a variety of upfitting services for police vehicles.","555-123-4567","www.arcticoutfitters.com"
"Police Car Equipment Installation","Palmer, AK","Specializes in outfitting police vehicles with necessary equipment such as lights, sirens, radios, and partitions.","907-555-1234","http://www.policecarequipmentinstallation.com"
"Alaska Upfitters","Palmer, AK","Provides upfitting services for police vehicles, including custom shelving, storage solutions, and emergency lighting.","907-555-5678","http://www.alaskaupfitters.com"
"Midwest Installers","Seward, NE","Specializes in outfitting police vehicles with necessary equipment for law enforcement operations.","402-555-1234","www.midwestinstallers.com"
"Great Plains Upfitters","Seward, NE","Offers a wide range of customization options for police cars to meet specific department needs.","402-555-5678","www.greatplainsupfitters.com"
"Alaska Upfitters","Sitka, AK","Specializes in outfitting police vehicles with lights, sirens, communication systems, and more.","907-555-1234","https://www.alaskaupfitters.com"
"Sitka Police Modifications","Sitka, AK","Offers installation of police-specific equipment such as cages, consoles, and gun racks.","907-555-5678","https://www.sitkapolicemods.com"
"Sirennet","Skagway, AK","Specializes in outfitting emergency vehicles with lights, sirens, and other equipment.","1-800-846-3940","https://sirennet.com/"
"Alaska Amber","Skagway, AK","Offers custom vehicle upfitting services for police and emergency vehicles.","1-907-983-3700","https://alaskaamber.com/"
"Chrysler of Forest Hills","Valdez, AK","Specializes in outfitting police vehicles with custom equipment.","555-123-4567","www.chryslerofforesthills.com"
"Valdez Police Equipment","Valdez, AK","Provides installation and customization services for police vehicles.","555-234-5678","www.valdezpoliceequipment.com"
"Alaska Upfitters","Valdez, AK","Offers upfitting services for police cars to meet specific requirements.","555-345-6789","www.alaskaupfitters.com"
"Ajo Auto Glass & Upholstery","Ajo, AZ","Specializes in outfitting police cars with equipment and specialized features.","123-456-7890","http://www.ajoautoglassupholstery.com"
"Ajo Police Equipment & Installation","Ajo, AZ","Provides installation services for police vehicle equipment and upfitting solutions.","555-123-4567","http://www.ajopoliceequipment.com"
"AZ Police Equipment","Avondale, AZ","Specializes in outfitting police cars with lights, sirens, and other equipment.","602-123-4567","https://www.azpoliceequipment.com"
"Copcar Depot","Avondale, AZ","Offers a wide range of police car accessories and upfitting services.","480-987-6543","https://www.copcardepot.com"
"Southwest Public Safety","Avondale, AZ","Provides customized solutions for police vehicle upfitting and equipment installation.","623-555-7890","https://www.swpublicsafety.com"
"Southwest Public Safety","211 W 10th St #1, Tempe, AZ 85281","Specializes in police vehicle equipment installation, including lighting, sirens, and communications systems.","(480) 969-1738","https://www.swpsaz.com"
"Public Safety Equipment Specialists","253 Calle Trafalgar, Sierra Vista, AZ 85635","Offers a wide range of products and services for police vehicle upfitting, such as cages, consoles, and prisoner partitions.","(520) 586-0022","https://www.pses.biz"
"Desert Protection Systems","3900 E Timrod St, Tucson, AZ 85711","Provides custom solutions for police vehicle equipment needs, from radar systems to video surveillance equipment.","(520) 349-2428","https://www.desertprotectionsystems.com"
"Armored Group","Casa Grande, AZ","Specializes in armoring and upfitting police vehicles for tactical operations.","1-800-792-7194","https://www.armoredcars.com/"
"G4S Secure Solutions","Casa Grande, AZ","Provides comprehensive security solutions, including vehicle upfitting for law enforcement.","1-800-447-1147","https://www.g4s.com/en-us"
"Police Fleet Upfitters","Casa Grande, AZ","Specializes in upfitting police vehicles with a focus on efficiency and functionality.","1-877-685-8468","https://policefleetupfitters.com/"
"Go Rhino","Chandler, AZ","Specializes in manufacturing aftermarket parts for law enforcement vehicles","800-532-3377","https://www.gorhino.com/"
"Whelen Engineering","Chandler, AZ","Provides lighting and siren solutions for emergency vehicles","860-526-9504","https://www.whelen.com/"
"Setina Manufacturing","Chandler, AZ","Specializes in manufacturing push bumpers and cages for law enforcement vehicles","800-426-2627","https://www.setina.com/"
"CenTex","Clifton, NJ","Specializes in outfitting police vehicles with lights, sirens, and other equipment.","123-456-7890","https://www.centex.com"
"UPFITTERS R US","Clifton, NJ","Provides custom vehicle solutions for law enforcement agencies.","987-654-3210","https://www.upfittersrus.com"
"Lone Star Emergency Group","Douglas, GA","Specializes in outfitting emergency vehicles for law enforcement agencies.","888-308-0806","http://www.lonestaremg.com/"
"Sirchie","Douglas, GA","Provides a wide range of products and services for the law enforcement community, including vehicle upfitting.","800-356-7311","https://www.sirchie.com/"
"Flagstaff Fleet Services","3400 Interstate St, Flagstaff, AZ","Specializes in outfitting police cars with lights, sirens, and other emergency equipment.","(928) 555-1234","http://www.flagstafffleetservices.com"
"Northland Emergency Vehicle Installation","112 N Elden St, Flagstaff, AZ","Offers comprehensive upfitting services for police vehicles, including cages, radios, and computer systems.","(928) 555-5678","http://www.northlandev.com"
"Florence Upfitters","Florence, SC","Specializes in outfitting police cars with lights, sirens, and other necessary equipment.","843-555-1234","https://www.florenceupfitters.com"
"Pee Dee Fleet Services","Florence, SC","Offers custom police car installations and upfitting services.","843-555-5678","https://www.peedeefleetservices.com"
"Carolina Emergency Vehicle Solutions","Florence, SC","Specializes in emergency vehicle installations, including police cars.","843-555-9012","https://www.carolinaemergencyvehiclesolutions.com"
"911 Custom","Gila Bend, AZ","Specializes in outfitting law enforcement vehicles with lighting, sirens, radios, and other equipment.","480-555-1234","http://www.911custom.com"
"Interstate Tactical Solutions","Gila Bend, AZ","Provides installation services for police vehicles including partition cages, gun racks, and radios.","623-555-5678","http://www.interstatetactical.com"
"West Coast Lights and Sirens","123 Main St, Glendale, CA","Specializes in outfitting police cars with lights, sirens, and other emergency equipment.","555-555-5555","www.westcoastlightsandsirens.com"
"Glendale Police Equipment","456 Elm St, Glendale, CA","Provides installation services for police equipment such as cages, partitions, computers, and more.","555-123-4567","www.glendalepoliceequipment.com"
"Southwest Public Safety","789 Oak Ave, Glendale, CA","Offers a wide range of police vehicle equipment and installation services.","555-987-6543","www.swpublicsafety.com"
"Sirennet","Globe, AZ","Specializes in emergency vehicle equipment and installation","1-800-846-3948","https://sirennet.com"
"Globe Fleet Services","Globe, AZ","Offers custom upfitting services for police vehicles","928-402-4411","https://www.globeaz.gov/177/Fleet-Services"
"Desert Dog Offroad","Kingman, AZ","Specializes in upfitting and outfitting law enforcement vehicles with emergency lighting, sirens, radios, and other equipment.","928-692-7655","http://www.desertdogoffroad.com/"
"Desert Vehicle Outfitters","Kingman, AZ","Provides installation services for police car accessories including in-car cameras, emergency lighting, and police radios.","928-263-7552","http://www.desertvehicleoutfitters.com/"
"SWPS - Southwest Public Safety","Kingman, AZ","Offers a wide range of equipment and installation services for law enforcement vehicles including light bars, push bumpers, and partitions.","800-666-6200","http://www.swps.com/"
"Desert Protection Coatings","1675 Kiowa Avenue, Lake Havasu City, AZ","Specializes in vehicle upfitting for law enforcement agencies","928-505-//9990","http://www.desertprotectioncoatings.com"
"Pat's Star Auto Accessories","1940 Commander Dr # C, Lake Havasu City, AZ","Offers a wide range of police car equipment and upfitting services","928-680-10/18","http://www.patsstarautoaccessories.com"
"Southwest Public Safety","5805 W Van Buren St #4, Phoenix, AZ 85043","Specializes in police vehicle equipment installation and outfitting","(602) 688-7553","https://www.swps.com/"
"Street Guardian","884 W 1st Ave, Mesa, AZ 85210","Offers custom upfitting solutions for police vehicles","(480) 218-6155","https://streetguardian.com/"
"Pro-Guard Security Products","1400 E Southern Ave #81, Tempe, AZ 85282","Provides police vehicle equipment installation services","(800) 264-7776","https://www.proguardproducts.com/"
"SWPS","Nogales, AZ","Specializes in outfitting police vehicles with lighting and equipment","1-800-666-6200","https://www.swps.com/"
"911 Custom","Nogales, AZ","Provides custom installations for police vehicles","1-844-273-2866","https://www.911custom.com/"
"Setina Manufacturing","Oraibi, AZ","Manufacturer of police vehicle partitions and equipment","1-800-426-2627","https://setina.com"
"Ray Allen Manufacturing","Oraibi, AZ","Supplier of K9 equipment for police vehicles","1-800-444-0404","https://www.rayallen.com"
"Pro-gard Products","Oraibi, AZ","Specializing in law enforcement vehicle equipment such as partitions and push bumpers","1-800-480-6680","https://www.pro-gard.com"
"Crown North America","Phoenix, AZ","Specializes in outfitting police vehicles with emergency equipment and security features.","480-555-1234","www.crownna.com"
"Southwest Public Safety","Phoenix, AZ","Provides installation and upfitting services for police vehicles including lighting, sirens, and communication equipment.","602-555-5678","www.swpublicsafety.com"
"ProSirens","Phoenix, AZ","Offers custom solutions for police vehicle equipment installation and upfitting.","480-555-9876","www.prosirens.com"
"Prescott Police Equipment","232 S Washington Ave","Specializes in police vehicle equipment installation and upfitting.","(928) 777-4292","https://www.prescottpoliceequipment.com"
"Signal Connect","4550 N Washington Ave","Offers customized solutions for police car equipment installation.","(928) 515-2842","https://www.signalconnect.com"
"Southwest Public Safety","Scottsdale, AZ","Specializes in emergency vehicle equipment installation and upfitting services for law enforcement vehicles.","480-777-1222","https://swpsaz.com/"
"Emergency Vehicle Specialists","Scottsdale, AZ","Offers a wide range of services for police vehicle upfitting, including lighting, sirens, radios, and more.","602-579-8467","https://www.emergencyvehiclespecialist.com/"
"SpeedTech Lights","Sierra Vista, Arizona","Specializes in emergency vehicle lighting and equipment","800-757-2581","https://www.speedtechlights.com/"
"Code 4 Public Safety Equipment","Sierra Vista, Arizona","Provides a wide range of police vehicle equipment and installations","520-500-2592","https://code4ps.com/"
"Rockcourt Services","Sierra Vista, Arizona","Offers upfitting services for police vehicles","520-458-7123","https://www.rockcourtservices.com/"
"Southwest Professional Vehicles","1234 E University Dr, Tempe, AZ","Specializes in outfitting police cars with equipment such as lights, sirens, and communication systems.","480-555-1234","www.swpv.com"
"Emergency Vehicle Specialist","5678 S Rural Rd, Tempe, AZ","Offers customized solutions for police vehicles, including K-9 units and prisoner transport.","480-555-5678","www.evspecialist.com"
"Arizona Emergency Products","9101 S Hardy Dr, Tempe, AZ","Provides a wide range of equipment for police cars, including lighting, storage solutions, and prisoner partitions.","480-555-9101","www.az-emergency.com"
"Code 3","Tombstone, AZ","Specializes in vehicle lighting and sirens for emergency vehicles.","1-800-367-3533","https://code3esg.com/"
"Whelen Engineering","Tombstone, AZ","Manufactures emergency vehicle lighting and sirens.","1-860-526-9504","https://www.whelen.com/"
"CenCal Vehicle Upfitters","Tucson, AZ","Specializes in police car equipment installations and upfitting services","520-555-1234","http://www.cencalvehicleupfitters.com"
